"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","655","parse button disabled when textarea empty, enabled when filled @smoke @ui","firefox","Mon Mar 02 13:17:23 UTC 2026","passed","Mon Mar 02 13:17:23 UTC 2026","Stock Footage Page","ui/stock-footage.spec.ts","",""
"","1303","innocent short prompts should not be flagged by moderation @api @regression","mobile-chrome","Mon Mar 02 13:16:57 UTC 2026","passed","Mon Mar 02 13:16:59 UTC 2026","Generation Pipeline — Data Integrity","api/generation-pipeline.spec.ts","",""
"","4299","Studio page should have no a11y violations @a11y @regression","firefox","Mon Mar 02 13:16:36 UTC 2026","passed","Mon Mar 02 13:16:41 UTC 2026","Accessibility — WCAG 2.1 AA Scans","a11y/page-scans.spec.ts","",""
"","311","studio handles generate-video network failure @ui @regression","firefox","Mon Mar 02 13:16:44 UTC 2026","skipped","Mon Mar 02 13:16:44 UTC 2026","Negative Paths — API Down & Error States","api/negative-paths.spec.ts","",""
"","604","generate button enables on input, disables on clear @smoke @ui","chromium","Mon Mar 02 13:17:52 UTC 2026","passed","Mon Mar 02 13:17:52 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","4060","all 3 nav links visible on every page @smoke @ui","firefox","Mon Mar 02 13:16:56 UTC 2026","passed","Mon Mar 02 13:17:00 UTC 2026","Navigation","ui/navigation.spec.ts","",""
"","755","generate button enables on input, disables on clear @smoke @ui","firefox","Mon Mar 02 13:18:04 UTC 2026","passed","Mon Mar 02 13:18:05 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","351","video history should have valid aspect_ratio values @api @regression","mobile-chrome","Mon Mar 02 13:16:57 UTC 2026","passed","Mon Mar 02 13:16:57 UTC 2026","Generation Pipeline — Data Integrity","api/generation-pipeline.spec.ts","",""
"","685","generate button disabled when prompt empty @smoke @ui","firefox","Mon Mar 02 13:18:03 UTC 2026","passed","Mon Mar 02 13:18:04 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","2150","unknown route returns 404 @smoke @ui","webkit","Mon Mar 02 13:17:07 UTC 2026","passed","Mon Mar 02 13:17:09 UTC 2026","Navigation","ui/navigation.spec.ts","",""
